I
1000 Generated by WorldEditor

111 -27.57715312  153.01082971
111 -27.57714087  153.01076449
111 -27.57707531  153.01077408
111 -27.57707858  153.01080953
111 -27.57677508  153.01086560
111 -27.57672340  153.01050570
113 -27.57669250  153.01050819
110 2 1.00 9.5800 New Taxiway 63
111 -27.57244627  153.00945309
111 -27.57246870  153.00944747
111 -27.57245936  153.00938842
111 -27.57256839  153.00936171
111 -27.57258584  153.00949597
113 -27.57243506  153.00952127
110 1 1.00 75.9600 New Taxiway 2
112 -27.57298835  153.00978998 -27.57296770  153.00972423
111 -27.57290504  153.00977741
111 -27.57279018  153.00990849
111 -27.57276613  153.00978494
111 -27.57265661  153.00980754
111 -27.57267932  153.00993411
111 -27.57259250  153.00995520
111 -27.57261120  153.01008327
111 -27.57257915  153.01009231
111 -27.57254442  153.01010135
111 -27.57252839  153.01005615
111 -27.57246295  153.01006218
111 -27.57247898  153.01018272
111 -27.57240854  153.01019066
111 -27.57237213  153.01019477
111 -27.57240418  153.00999438
111 -27.57247764  153.00997630
111 -27.57245761  153.00984973
111 -27.57237480  153.00986932
111 -27.57239216  153.00999438
111 -27.57233740  153.01000794
112 -27.57226394  153.00990096 -27.57223857  153.00987233
112 -27.57216644  153.00990849 -27.57213840  153.00992055
111 -27.57211168  153.00994616
112 -27.57206627  153.01012245 -27.57205025  153.01019025
111 -27.57211436  153.01020532
111 -27.57227329  153.01021134
111 -27.57228932  153.01027011
112 -27.57214507  153.01030928 -27.57208631  153.01033188
112 -27.57199949  153.01044338 -27.57197946  153.01048557
111 -27.57204090  153.01049160
111 -27.57262275  153.01036399
111 -27.57263524  153.01044187
112 -27.57211170  153.01055211 -27.57201150  153.01057581
111 -27.57194482  153.01070601
111 -27.57185471  153.01111434
111 -27.57176029  153.01154223
111 -27.57162005  153.01156333
112 -27.57165211  153.01154073 -27.57166680  153.01153018
111 -27.57167772  153.01150705
112 -27.57236444  153.00835927 -27.57238268  153.00826104
111 -27.57239336  153.00805064
111 -27.57252339  153.00809515
111 -27.57255396  153.00820645
112 -27.57248380  153.00826306 -27.57247376  153.00830382
112 -27.57221176  153.00947546 -27.57220573  153.00949927
111 -27.57222427  153.00950298
111 -27.57243517  153.00945298
111 -27.57247638  153.00925266
111 -27.57258814  153.00921972
111 -27.57264478  153.00940363
112 -27.57284187  153.00936896 -27.57285893  153.00936104
111 -27.57286390  153.00933488
111 -27.57291679  153.00952831
112 -27.57277686  153.00944481 -27.57268555  153.00946179
111 -27.57266206  153.00946686
111 -27.57267518  153.00953312
111 -27.57286942  153.00961188
112 -27.57289323  153.00961340 -27.57290226  153.00961113
111 -27.57289323  153.00961340
112 -27.57289323  153.00961340 -27.57291229  153.00959415
113 -27.57292879  153.00957218
111 -27.57240564  153.00958263
111 -27.57241869  153.00952263
112 -27.57228423  153.00954641 -27.57221398  153.00956112
111 -27.57218890  153.00961320
112 -27.57215578  153.00970829 -27.57214073  153.00975810
111 -27.57219993  153.00977055
111 -27.57236852  153.00973998
113 -27.57255416  153.00955999
111 -27.57258584  153.00949597
111 -27.57256839  153.00936171
111 -27.57245936  153.00938842
111 -27.57246870  153.00944747
111 -27.57244627  153.00945309
113 -27.57243506  153.00952127
110 2 1.00 9.5800 New Taxiway 45
111 -27.57675407  153.00797225
111 -27.57679556  153.00823210
111 -27.57647112  153.00828641
111 -27.57643404  153.00802437
111 -27.57647205  153.00801818
113 -27.57669799  153.00798138
110 2 1.00 9.5800 New Taxiway 44
111 -27.57053567  153.01224634
111 -27.57042601  153.01226181
111 -27.57041044  153.01214513
113 -27.57051885  153.01212826
110 1 1.00 9.5800 New Taxiway 2
111 -27.57456905  153.01321967
111 -27.57428172  153.01327202
112 -27.57425137  153.01325558 -27.57423680  153.01324599
111 -27.57420181  153.01321959
111 -27.57395931  153.01326748
112 -27.57388051  153.01329008 -27.57384979  153.01330364
111 -27.57385513  153.01334583
112 -27.57390054  153.01366074 -27.57390054  153.01368032
112 -27.57387116  153.01368334 -27.57385780  153.01368183
111 -27.57384445  153.01365170
111 -27.57381640  153.01349198
111 -27.57376431  153.01350705
111 -27.57371228  153.01321788
111 -27.57365688  153.01290999
111 -27.57371908  153.01289903
111 -27.57382784  153.01287986
111 -27.57381048  153.01275028 3
111 -27.57369755  153.01277290 3
111 -27.57366757  153.01277891
111 -27.57366490  153.01273822
111 -27.57332010  153.01281135
111 -27.57335017  153.01297862
111 -27.57340441  153.01328030
111 -27.57340564  153.01328716
111 -27.57267032  153.01340566
111 -27.57268163  153.01346947
111 -27.57316000  153.01337649
111 -27.57316484  153.01344030
111 -27.57262345  153.01357704
111 -27.57263153  153.01364085
112 -27.57259921  153.01364814 -27.57258952  153.01364996
111 -27.57255396  153.01369007
111 -27.57249902  153.01370283
111 -27.57250871  153.01379581
111 -27.57245700  153.01382681
112 -27.57250548  153.01388515 -27.57252326  153.01389973
111 -27.57256851  153.01390703
111 -27.57310667  153.01379764
112 -27.57352504  153.01371063 -27.57358807  153.01369786
111 -27.57357514  153.01363041
111 -27.57353797  153.01340798
111 -27.57360746  153.01338793
111 -27.57367695  153.01381455
111 -27.57352989  153.01384372
111 -27.57352666  153.01380178
112 -27.57259934  153.01397948 -27.57248103  153.01400884
112 -27.57238443  153.01384956 -27.57235059  153.01380552
112 -27.57228553  153.01383488 -27.57226210  153.01384076
111 -27.57223607  153.01389948
112 -27.57225690  153.01404922 -27.57227512  153.01409620
111 -27.57234539  153.01414318
111 -27.57212936  153.01417950
112 -27.57216840  153.01412556 -27.57218662  153.01410795
111 -27.57217361  153.01404922
111 -27.57213717  153.01376148
111 -27.57197641  153.01307587
112 -27.57159065  153.01313803 -27.57154266  153.01315007
111 -27.57153554  153.01318817
111 -27.57154088  153.01344487
111 -27.57165998  153.01343484
111 -27.57169198  153.01363739
111 -27.57151955  153.01366346
111 -27.57147688  153.01352909
111 -27.57127956  153.01355517
111 -27.57126711  153.01348698
111 -27.57148577  153.01345489
111 -27.57144669  153.01305094
111 -27.57109944  153.01312115
111 -27.57107454  153.01299132
111 -27.57146429  153.01290976
111 -27.57137655  153.01239072
111 -27.57104892  153.01244873
111 -27.57103924  153.01237322
111 -27.57122228  153.01233934
111 -27.57122522  153.01236089
111 -27.57137802  153.01233437
111 -27.57135010  153.01220675
111 -27.57176881  153.01213714
111 -27.57173943  153.01199461
111 -27.57100975  153.01214316
111 -27.57054600  153.01223831
111 -27.57054600  153.01225612
111 -27.57041122  153.01229584
111 -27.57039049  153.01228046
111 -27.57036683  153.01210696
111 -27.57046620  153.01209628
111 -27.57050169  153.01210963
112 -27.57053009  153.01209361 -27.57054428  153.01208027
112 -27.57054902  153.01202688 -27.57053719  153.01200553
111 -27.57044017  153.01199218
111 -27.56893290  153.01228376
111 -27.56883036  153.01230371
111 -27.56872071  153.01232505
111 -27.56861696  153.01234525
111 -27.56730829  153.01259867
111 -27.56729684  153.01251470
111 -27.57066855  153.01189150
112 -27.57076083  153.01182210 -27.57082472  153.01177138
111 -27.57096892  153.01173222
111 -27.57129045  153.01166101
112 -27.57138778  153.01161347 -27.57142692  153.01157385
112 -27.57148713  153.01154555 -27.57154533  153.01152291
112 -27.57152626  153.01159196 -27.57153830  153.01160441
112 -27.57156239  153.01160781 -27.57157744  153.01161007
111 -27.57162005  153.01156333
111 -27.57176029  153.01154223
111 -27.57185471  153.01111434
111 -27.57193107  153.01111609
111 -27.57197018  153.01116422
112 -27.57321965  153.01093448 -27.57328187  153.01092044
111 -27.57328608  153.01082908
111 -27.57334629  153.01081365 3
112 -27.57346676  153.01121124 -27.57347387  153.01123931 3
111 -27.57350587  153.01125135 3
112 -27.57384718  153.01118316 -27.57407651  153.01113703 3
111 -27.57407295  153.01077625
111 -27.57429459  153.01103229
111 -27.57427370  153.01149246 3
112 -27.57396806  153.01161448 -27.57383984  153.01166872
112 -27.57385208  153.01195547 -27.57385074  153.01197054
112 -27.57383614  153.01199229 -27.57383614  153.01199982
112 -27.57391391  153.01249454 -27.57392593  153.01252618
112 -27.57417196  153.01293959 -27.57422529  153.01300522
112 -27.57428196  153.01304786 -27.57431428  153.01306427
111 -27.57428196  153.01304786
112 -27.57428196  153.01304786 -27.57435542  153.01310239
113 -27.57454021  153.01307578
111 -27.57148778  153.01261203
111 -27.57187912  153.01254423
111 -27.57193521  153.01292241
112 -27.57195124  153.01293899 -27.57196193  153.01293899
112 -27.57196059  153.01290584 -27.57196059  153.01289529
111 -27.57186710  153.01228055
111 -27.57146508  153.01234986
114 -27.57144638  153.01237698 -27.57145039  153.01240109
111 -27.57180284  153.01198317
111 -27.57181498  153.01207905
112 -27.57182955  153.01211193 -27.57184291  153.01212015
112 -27.57188540  153.01215028 -27.57189390  153.01215713
112 -27.57194126  153.01219822 -27.57196918  153.01219685
111 -27.57227759  153.01213521
111 -27.57230309  153.01205577
111 -27.57200075  153.01210645
113 -27.57197525  153.01195304
111 -27.57193434  153.01235156
111 -27.57197736  153.01231759
111 -27.57200102  153.01242921
111 -27.57196015  153.01246561
111 -27.57198381  153.01267430
111 -27.57203759  153.01263305
111 -27.57205265  153.01271312
111 -27.57200102  153.01275437
111 -27.57201178  153.01284416
111 -27.57205910  153.01279077
111 -27.57207200  153.01290482
111 -27.57203114  153.01292909
112 -27.57205265  153.01295093 -27.57206770  153.01295821
112 -27.57212148  153.01296549 -27.57214729  153.01296063
111 -27.57217310  153.01292909
111 -27.57265923  153.01285387
111 -27.57253232  153.01217199
113 -27.57192574  153.01226420
111 -27.57235741  153.01290214
112 -27.57221044  153.01298418 -27.57215748  153.01299457
111 -27.57210216  153.01300759
112 -27.57204560  153.01308052 -27.57206014  153.01313156
112 -27.57214741  153.01349255 -27.57216034  153.01356183
111 -27.57218288  153.01369836
112 -27.57226696  153.01374910 -27.57233736  153.01373586
112 -27.57242144  153.01366306 -27.57246446  153.01362556
111 -27.57246837  153.01361453
111 -27.57246446  153.01354835
111 -27.57223567  153.01359027
111 -27.57213986  153.01300376
113 -27.57236278  153.01296226
111 -27.57270888  153.01303396
112 -27.57265597  153.01304528 -27.57263225  153.01306071
112 -27.57259029  153.01312349 -27.57258573  153.01315230
111 -27.57258846  153.01322846
111 -27.57263043  153.01321817
111 -27.57264680  153.01332436
111 -27.57267084  153.01332134
111 -27.57268153  153.01339818
111 -27.57299673  153.01334545
111 -27.57294999  153.01296425 3
111 -27.57282731  153.01298818
111 -27.57283837  153.01307491
113 -27.57271912  153.01309811
111 -27.57051885  153.01212826
111 -27.57041044  153.01214513
111 -27.57042601  153.01226181
113 -27.57053567  153.01224634
111 -27.57157635  153.01301287
112 -27.57156299  153.01303843 -27.57156473  153.01305350
111 -27.57158681  153.01304957
111 -27.57189646  153.01298993
112 -27.57190343  153.01297092 -27.57190285  153.01296175
113 -27.57189065  153.01295192
110 2 1.00 9.5800 New Taxiway 46
111 -27.57595671  153.00821957
111 -27.57602116  153.00821405
111 -27.57602785  153.00820185
111 -27.57602373  153.00817106
111 -27.57614732  153.00814956
111 -27.57617564  153.00832849
111 -27.57619057  153.00832733
111 -27.57619608  153.00836964
111 -27.57621404  153.00850767
111 -27.57604132  153.00853087
111 -27.57603789  153.00848525
112 -27.57600225  153.00847751 -27.57598032  153.00847983
111 -27.57596182  153.00848525
111 -27.57596060  153.00847814
111 -27.57594756  153.00840622
111 -27.57594605  153.00839323
111 -27.57600157  153.00838550
112 -27.57601390  153.00837004 -27.57601528  153.00836308
111 -27.57601802  153.00835689
111 -27.57605229  153.00834607
111 -27.57603926  153.00827725
113 -27.57596836  153.00828761
110 2 1.00 9.5800 New Taxiway 47
111 -27.57620972  153.00746617
111 -27.57621967  153.00749517
111 -27.57649169  153.00743997
111 -27.57651740  153.00764674
112 -27.57648008  153.00765796 -27.57646183  153.00766264
111 -27.57645769  153.00769633
111 -27.57625843  153.00773466
111 -27.57624535  153.00767421
111 -27.57603973  153.00771849
111 -27.57602829  153.00764154
111 -27.57601871  153.00757714
113 -27.57600796  153.00750480
110 2 1.00 9.5800 New Taxiway 49
111 -27.57684301  153.01163775
111 -27.57689223  153.01162861
112 -27.57690345  153.01162018 -27.57690594  153.01161034
111 -27.57690033  153.01157800
111 -27.57702744  153.01155270
111 -27.57707383  153.01188275
111 -27.57696890  153.01189650
111 -27.57694528  153.01189959
111 -27.57693948  153.01186310
112 -27.57692289  153.01185187 -27.57690465  153.01185375
111 -27.57687148  153.01186123
111 -27.57686431  153.01180495
111 -27.57691938  153.01179730
111 -27.57693199  153.01178275
111 -27.57692086  153.01169545
111 -27.57690594  153.01168888
113 -27.57685096  153.01170018
110 2 1.00 9.5800 New Taxiway 49
111 -27.57679506  153.01126681
111 -27.57684428  153.01125767
112 -27.57685549  153.01124923 -27.57685799  153.01123939
111 -27.57685238  153.01120706
111 -27.57697949  153.01118175
111 -27.57702588  153.01151180
111 -27.57689733  153.01152864
111 -27.57689153  153.01149216
112 -27.57687494  153.01148093 -27.57685670  153.01148280
111 -27.57682352  153.01149029
111 -27.57681635  153.01143401
111 -27.57687143  153.01142635
111 -27.57688403  153.01141180
111 -27.57687290  153.01132451
111 -27.57685799  153.01131793
113 -27.57680301  153.01132923
110 2 1.00 9.5800 New Taxiway 48
111 -27.57651799  153.00937085
111 -27.57655434  153.00936405
111 -27.57670686  153.00933552
111 -27.57674770  153.00963439
111 -27.57689892  153.00961820
111 -27.57692516  153.00992673
111 -27.57697422  153.00991636
111 -27.57697974  153.00991013
111 -27.57697974  153.00983541
111 -27.57724388  153.00978673
111 -27.57727588  153.00996121
111 -27.57700034  153.01001335
111 -27.57703945  153.01021992
111 -27.57668992  153.01028280
111 -27.57668901  153.01025296
112 -27.57666073  153.01024164 -27.57663701  153.01024575
111 -27.57661238  153.01025090
111 -27.57660599  153.01019224
111 -27.57666347  153.01017474
111 -27.57666347  153.01013255
111 -27.57664522  153.01013666
111 -27.57662731  153.01002594
111 -27.57661553  153.00995315
111 -27.57660143  153.00986599
111 -27.57661694  153.00985364
111 -27.57661238  153.00981042
112 -27.57658775  153.00980630 -27.57656677  153.00981042
111 -27.57654852  153.00981248
111 -27.57653849  153.00975279
111 -27.57656754  153.00974881
111 -27.57659870  153.00974455
112 -27.57660599  153.00972500 -27.57660417  153.00971677
111 -27.57659596  153.00967766
113 -27.57655954  153.00967800
110 2 1.00 9.5800 New Taxiway 50
111 -27.57757897  153.01150648
111 -27.57758707  153.01155146
111 -27.57765374  153.01153741
111 -27.57768676  153.01172579
111 -27.57738955  153.01178624
111 -27.57738021  153.01170541
111 -27.57733102  153.01171515
111 -27.57732547  153.01167817
111 -27.57737460  153.01166745
111 -27.57737086  153.01164285
111 -27.57732111  153.01164916
111 -27.57731626  153.01161690
111 -27.57736525  153.01160559
111 -27.57736401  153.01159083
111 -27.57755654  153.01155779
113 -27.57754968  153.01151140
110 2 1.00 106.7700 New Taxiway 56
111 -27.56950540  153.00103144
111 -27.56947808  153.00093328
111 -27.56980325  153.00081749
111 -27.56999508  153.00141779
111 -27.56973750  153.00151442
112 -27.56965472  153.00161154 -27.56964147  153.00163022
112 -27.56951674  153.00167629 -27.56945603  153.00168127
111 -27.56940958  153.00162418
111 -27.56933144  153.00132497
111 -27.56940204  153.00129868
112 -27.56941986  153.00137136 -27.56942808  153.00140228
111 -27.56945297  153.00139671
111 -27.56950791  153.00138395
111 -27.56949660  153.00131649
111 -27.56952731  153.00130738
111 -27.56954993  153.00135113
111 -27.56956286  153.00134931
111 -27.56962266  153.00124904
111 -27.56960973  153.00120711
111 -27.56954185  153.00115424
112 -27.56943357  153.00118158 -27.56934954  153.00120711
111 -27.56934307  153.00108314
113 -27.56939897  153.00106534
110 2 1.00 9.5800 New Taxiway 55
111 -27.57381048  153.01275028
111 -27.57382784  153.01287986
111 -27.57371908  153.01289903
113 -27.57369755  153.01277290
110 2 1.00 9.5800 New Taxiway 54
111 -27.57335017  153.01297862
111 -27.57365688  153.01290999
111 -27.57371228  153.01321788
113 -27.57340441  153.01328030
110 1 1.00 9.5800 New Taxiway 59
112 -27.57139227  153.00820584 -27.57141571  153.00820461
112 -27.57143916  153.00825489 -27.57143954  153.00828375
112 -27.57139573  153.00829982 -27.57137498  153.00830065
114 -27.57135422  153.00825819 -27.57135384  153.00823099
110 1 1.00 9.5800 New Taxiway 59
112 -27.56605907  153.00753984 -27.56609708  153.00753773
112 -27.56613508  153.00762349 -27.56613571  153.00767269
112 -27.56606468  153.00770010 -27.56603103  153.00770151
114 -27.56599738  153.00762911 -27.56599676  153.00758272
110 1 1.00 9.5800 New Taxiway 59
112 -27.57128809  153.00801212 -27.57132610  153.00801001
112 -27.57136410  153.00809576 -27.57136473  153.00814497
112 -27.57129370  153.00817238 -27.57126005  153.00817378
114 -27.57122641  153.00810139 -27.57122578  153.00805500
110 1 1.00 9.5800 New Taxiway 59
112 -27.56974545  152.99915045 -27.56978346  152.99914834
112 -27.56982147  152.99923410 -27.56982209  152.99928330
112 -27.56975106  152.99931071 -27.56971742  152.99931212
114 -27.56968377  152.99923972 -27.56968315  152.99919333
110 2 1.00 106.7700 New Taxiway 57
111 -27.56933210  153.00081492
111 -27.56935929  153.00082642
111 -27.56940538  153.00080895
111 -27.56941986  153.00087331
111 -27.56936948  153.00089287
113 -27.56935702  153.00091013
110 2 1.00 106.7700 New Taxiway 58
111 -27.56940538  153.00080895
111 -27.56968495  153.00071254
112 -27.56971606  153.00061292 -27.56969599  153.00053934
111 -27.56957959  153.00014088
111 -27.56963277  153.00012390
111 -27.56980738  153.00074084
111 -27.56977225  153.00075442
111 -27.56978329  153.00080423
111 -27.56943208  153.00092762
113 -27.56941986  153.00087331
110 2 1.00 107.3100 New Taxiway 69
111 -27.57408341  152.99937300
111 -27.57405544  152.99936815
111 -27.57398876  152.99940212
111 -27.57406620  152.99970059
112 -27.57411352  152.99968603 -27.57413503  152.99967633
111 -27.57414148  152.99965449
111 -27.57417375  152.99982920
112 -27.57415747  152.99980736 -27.57415102  152.99980736
111 -27.57410922  152.99980251
111 -27.57395435  152.99985590
111 -27.57377796  152.99927108
111 -27.57390487  152.99921284
111 -27.57394574  152.99931476
112 -27.57402103  152.99929292 -27.57404469  152.99928807
113 -27.57405329  152.99923953
110 2 1.00 107.3100 New Taxiway 68
111 -27.57319802  152.99708287
111 -27.57315285  152.99709258
111 -27.57328836  152.99747598
111 -27.57336149  152.99744444
111 -27.57340021  152.99754393
111 -27.57331847  152.99758518
111 -27.57333783  152.99763371
111 -27.57263230  152.99793946
111 -27.57242795  152.99725759
113 -27.57314424  152.99697125
110 2 1.00 107.3100 New Taxiway 67
111 -27.56839328  152.99750510
112 -27.56846847  152.99751433 -27.56851499  152.99750301
112 -27.56853324  152.99748655 -27.56853506  152.99747934
111 -27.56853506  152.99747626
111 -27.56848945  152.99748963
111 -27.56844931  152.99734144
111 -27.56854236  152.99730337
111 -27.56851210  152.99712481
111 -27.56899349  152.99700850
111 -27.56908657  152.99742071
111 -27.56873489  152.99751209
111 -27.56846988  152.99758095
112 -27.56843584  152.99759568 -27.56842580  152.99760597
113 -27.56842219  152.99760685
110 1 1.00 107.8900 New Taxiway 2
111 -27.57447165  153.01142053
111 -27.57482030  153.01262868
111 -27.57486280  153.01261224
112 -27.57493686  153.01285195 -27.57496358  153.01294099
111 -27.57511414  153.01295195
111 -27.57511763  153.01296855
112 -27.57542740  153.01289839 -27.57557410  153.01286102
111 -27.57558635  153.01259806
111 -27.57485060  153.01004457
111 -27.57447195  153.00873046
111 -27.57164955  152.99893513
111 -27.57129597  152.99770801
112 -27.57102315  152.99676117 -27.57097392  152.99660073
111 -27.57080678  152.99662406
112 -27.56963577  152.99703590 -27.56947549  152.99709316
112 -27.56952856  152.99733882 -27.56954459  152.99741265
111 -27.56961320  152.99741265 3
111 -27.57017514  152.99721365
111 -27.57043893  152.99712023
111 -27.57048040  152.99726566
112 -27.57023231  152.99737407 -27.57017648  152.99731772 3
111 -27.57011786  152.99732767 3
112 -27.56966094  152.99748014 -27.56959189  152.99750500 3
111 -27.56959483  152.99757959 3
112 -27.57049744  153.00076491 -27.57051683  153.00083602 3
111 -27.57059602  153.00083602 3
112 -27.57101944  153.00065917 -27.57111156  153.00060995 3
111 -27.57110186  153.00040758
111 -27.57128125  153.00056802
112 -27.57120852  153.00077950 -27.57112933  153.00072116 3
111 -27.57104368  153.00075580 3
112 -27.57061557  153.00091697 -27.57056348  153.00093630 3
111 -27.57057513  153.00103681 3
112 -27.57164334  153.00476191 -27.57164882  153.00479381
111 -27.57170235  153.00479487
112 -27.57220595  153.00459946 -27.57225522  153.00457990
111 -27.57225886  153.00446773
111 -27.57236833  153.00452124
112 -27.57233093  153.00470854 -27.57229627  153.00467458
111 -27.57224153  153.00466635
112 -27.57177317  153.00484834 -27.57169667  153.00487711
111 -27.57170396  153.00495655 3
112 -27.57233897  153.00721002 -27.57235721  153.00727588 3
111 -27.57243931  153.00727074 3
112 -27.57292935  153.00709761 -27.57297550  153.00708063 3
111 -27.57298454  153.00699573
111 -27.57309231  153.00708643
112 -27.57305334  153.00722863 -27.57302431  153.00718466 3
111 -27.57295962  153.00717250 3
112 -27.57245909  153.00735225 -27.57239989  153.00737489 3
111 -27.57241394  153.00744168 3
111 -27.57334629  153.01081365
111 -27.57328608  153.01082908 3
111 -27.57298835  153.00978998
111 -27.57292879  153.00957218 3
111 -27.57291679  153.00952831
111 -27.57286390  153.00933488 3
111 -27.57255396  153.00820645
111 -27.57252339  153.00809515
111 -27.57239336  153.00805064
112 -27.57239336  153.00805064 -27.57240115  153.00790959
111 -27.57233195  153.00793180
112 -27.57203620  153.00802661 -27.57200550  153.00803754
112 -27.57198287  153.00808130 -27.57195540  153.00808312
112 -27.57192308  153.00805395 -27.57191984  153.00804119
112 -27.57195378  153.00797009 -27.57199257  153.00795186
111 -27.57201519  153.00799197
112 -27.57230609  153.00788258 -27.57235296  153.00786799
112 -27.57237720  153.00778413 -27.57239013  153.00773855
111 -27.57241598  153.00773126 3
112 -27.57164612  153.00499897 -27.57162188  153.00491328
111 -27.57153299  153.00494427
112 -27.57145607  153.00458684 -27.57150022  153.00449470
111 -27.57148587  153.00442870 3
112 -27.57090649  153.00246061 -27.57086642  153.00232638
111 -27.57076538  153.00235058
112 -27.57071062  153.00194689 -27.57073018  153.00186968
111 -27.57072236  153.00182556 3
111 -27.57040778  153.00069625
111 -27.57020060  152.99994822
112 -27.57014584  152.99986234 -27.57011412  152.99981419
111 -27.57004602  152.99982901
111 -27.56915035  153.00016732
111 -27.56933210  153.00081492
111 -27.56935702  153.00091013
111 -27.56939897  153.00106534
111 -27.56934307  153.00108314
112 -27.56828318  152.99733924 -27.56824769  152.99722714
111 -27.56813649  152.99712304
111 -27.56842752  152.99705631
112 -27.56834470  152.99712571 -27.56830448  152.99715507
111 -27.56832348  152.99725937
111 -27.56839328  152.99750510
111 -27.56842219  152.99760685
111 -27.56872910  152.99868727
111 -27.56873967  152.99872447
111 -27.56874476  152.99874238
111 -27.56876232  152.99880419
111 -27.56912331  153.00007495
112 -27.56950877  152.99990346 -27.56959545  152.99987031
111 -27.56957342  152.99974933
112 -27.56929606  152.99876175 -27.56929164  152.99874681
111 -27.56926736  152.99875055
111 -27.56910375  152.99880889
111 -27.56905649  152.99863788
112 -27.56919664  152.99857776 -27.56922069  152.99856560
112 -27.56919913  152.99852444 -27.56918752  152.99851695
111 -27.56916679  152.99851789
111 -27.56903474  152.99855919
111 -27.56901425  152.99848503
